"agent_id","agent_file","agent_title","mode","target","status","prompt_path","files_inspected","files_changed","verification","notes"
"00","00-chapter-lead.md","00-chapter-lead","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\00-chapter-lead.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/00-chapter-lead.md"
"01","01-curriculum-alignment.md","01-curriculum-alignment","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\01-curriculum-alignment.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/01-curriculum-alignment.md"
"02","02-deep-explanation.md","02-deep-explanation","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\02-deep-explanation.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/02-deep-explanation.md"
"03","03-teaching-flow.md","03-teaching-flow","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\03-teaching-flow.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/03-teaching-flow.md"
"04","04-student-advocate.md","04-student-advocate","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\04-student-advocate.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/04-student-advocate.md"
"05","05-cognitive-load.md","05-cognitive-load","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\05-cognitive-load.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/05-cognitive-load.md"
"06","06-example-analogy.md","06-example-analogy","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\06-example-analogy.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/06-example-analogy.md"
"07","07-exercise-designer.md","07-exercise-designer","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\07-exercise-designer.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/07-exercise-designer.md"
"08","08-code-pedagogy.md","08-code-pedagogy","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\08-code-pedagogy.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/08-code-pedagogy.md"
"09","09-visual-learning.md","09-visual-learning","suggest","new material added in current working diff","completed",".book-writers\runs\scalableai-new-material-20260618-42agents\agent-prompts\09-visual-learning.prompt.md","see agent report","agent report only","report style scan by worker","agent-reports/09-visual-learning.md"
